                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.88575,                0.82543,                 1.1185,                0.94707,                0.91775,                0.96099,                0.80013,                0.73567,                0.88092,                0.90669,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3879,                  1.304,                 1.6218,                0.94658,                0.90894,                0.97906,                0.84923,                0.67617,                0.86515,                 0.8609,              0.0007724,              0.0007724,              0.0007724
                     64,                0.88317,                0.83904,                 1.0541,                0.94658,                0.90894,                0.97906,                0.84923,                0.67617,                0.86515,                 0.8609,              0.0007526,              0.0007526,              0.0007526
                     65,                0.68528,                0.75095,                 1.0632,                      1,                0.93792,                0.98987,                0.85614,                0.62435,                 0.6975,                0.82824,              0.0007328,              0.0007328,              0.0007328
                     66,                0.74466,                0.80842,                 1.0285,                0.99412,                0.94872,                0.99123,                 0.8704,                0.58972,                0.62399,                0.81049,               0.000713,               0.000713,               0.000713
                     67,                 0.6954,                0.74496,                 1.0821,                      1,                0.91328,                0.98672,                 0.8694,                0.54081,                0.57506,                0.79066,              0.0006932,              0.0006932,              0.0006932
                     68,                0.75322,                0.80114,                 1.0318,                      1,                0.91328,                0.98672,                 0.8694,                0.54081,                0.57506,                0.79066,              0.0006734,              0.0006734,              0.0006734
                     69,                0.87691,                 1.7308,                 1.2173,                0.97353,                0.94306,                 0.9864,                0.86924,                 0.4668,                0.55714,                0.78061,              0.0006536,              0.0006536,              0.0006536
                     70,                0.77566,                0.83252,                 1.0478,                0.97364,                0.94703,                0.98597,                0.86271,                0.43621,                0.55908,                0.77678,              0.0006338,              0.0006338,              0.0006338
                     71,                0.88857,                 0.6976,                 1.1068,                0.99181,                0.97436,                0.98868,                0.87869,                0.41016,                0.52899,                0.76782,               0.000614,               0.000614,               0.000614
                     72,                 1.3338,                 1.1838,                 1.3376,                0.99181,                0.97436,                0.98868,                0.87869,                0.41016,                0.52899,                0.76782,              0.0005942,              0.0005942,              0.0005942
                     73,                0.79921,                0.81384,                 1.0979,                      1,                0.94631,                0.98794,                0.88248,                0.40212,                0.50812,                0.76027,              0.0005744,              0.0005744,              0.0005744
                     74,                0.90686,                0.87929,                 1.1095,                      1,                0.94463,                0.98872,                0.89876,                0.37051,                 0.4889,                0.75112,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.7255,                0.72525,                 1.0024,                      1,                0.94689,                0.99014,                0.90817,                0.34192,                0.47527,                0.74267,              0.0005348,              0.0005348,              0.0005348
                     76,                0.71224,                0.70307,                 1.0514,                      1,                0.94689,                0.99014,                0.90817,                0.34192,                0.47527,                0.74267,               0.000515,               0.000515,               0.000515
                     77,                0.80594,                0.75179,                 1.0451,                0.96194,                      1,                0.99375,                0.89878,                0.33233,                0.45752,                0.74128,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.7363,                0.77497,                 1.0493,                      1,                0.97034,                 0.9945,                0.90503,                0.32105,                0.45109,                 0.7377,              0.0004754,              0.0004754,              0.0004754
                     79,                0.85219,                0.70527,                 1.0289,                0.99085,                      1,                  0.995,                0.91447,                0.32876,                 0.4571,                0.73842,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2534,                 2.2657,                 1.1133,                0.99085,                      1,                  0.995,                0.91447,                0.32876,                 0.4571,                0.73842,              0.0004358,              0.0004358,              0.0004358
                     81,                0.73759,                0.67175,                  1.066,                0.99392,                      1,                  0.995,                0.91332,                0.34943,                0.47263,                0.74157,               0.000416,               0.000416,               0.000416
                     82,                0.73355,                 0.7304,                 1.1256,                 0.9957,                      1,                  0.995,                0.91219,                0.35631,                0.48218,                0.74272,              0.0003962,              0.0003962,              0.0003962
                     83,                  0.814,                0.67734,                 1.2058,                0.99391,                      1,                  0.995,                0.91418,                0.35099,                0.48911,                0.74177,              0.0003764,              0.0003764,              0.0003764
                     84,                0.57866,                 0.6979,                0.95389,                0.99391,                      1,                  0.995,                0.91418,                0.35099,                0.48911,                0.74177,              0.0003566,              0.0003566,              0.0003566
                     85,                0.79123,                0.69459,                 1.1241,                0.99198,                      1,                  0.995,                0.91385,                0.32862,                0.48623,                0.73847,              0.0003368,              0.0003368,              0.0003368
